Year,Month,Region,POE,Crossing,Modes,Northbound Crossing,source
2025,9,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,9,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,233588,ELP_pdf
2025,9,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,321570,ELP_pdf
2025,9,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,9,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,9,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,10423,ELP_pdf
2025,9,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,313,ELP_pdf
2025,9,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,9,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,4022,ELP_pdf
2025,9,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,53890,ELP_pdf
